iter	Logloss
0	0.6920405308
1	0.6909841932
2	0.689696878
3	0.6886861078
4	0.687661556
5	0.6863856575
6	0.685502671
7	0.6842239775
8	0.6829062841
9	0.6818066632
10	0.6807924768
11	0.6794049641
12	0.6782921208
13	0.676995517
14	0.6759685273
15	0.6750726408
16	0.6742587267
17	0.6731530618
18	0.6718951488
19	0.6709564214
20	0.6698647131
21	0.6686390277
22	0.6675665856
23	0.6663008697
24	0.6654522118
25	0.6644262101
26	0.6634939206
27	0.662246118
28	0.6611788469
29	0.6601314753
30	0.6588712808
31	0.6578649724
32	0.65695406
33	0.656033927
34	0.6550280472
35	0.6540200493
36	0.6531807176
37	0.652078925
38	0.6511746237
39	0.6501711017
40	0.6493256336
41	0.6482800518
42	0.6472766019
43	0.646304371
44	0.6453712234
45	0.6444904723
46	0.6432361589
47	0.6422290345
48	0.6413029995
49	0.6403617691
