iter	Passed	Remaining
0	18	909
1	53	1286
2	74	1169
3	96	1106
4	118	1067
5	135	991
6	158	974
7	187	984
8	220	1005
9	235	943
10	255	906
11	281	892
12	312	889
13	339	872
14	362	845
15	383	815
16	399	776
17	417	742
18	440	718
19	461	692
20	481	664
21	505	643
22	525	616
23	549	594
24	568	568
25	591	545
26	612	521
27	631	496
28	653	473
29	672	448
30	694	425
31	712	400
32	734	378
33	752	354
34	772	331
35	790	307
36	809	284
37	825	260
38	844	238
39	859	214
40	879	192
41	899	171
42	923	150
43	942	128
44	963	107
45	983	85
46	1003	64
47	1018	42
48	1041	21
49	1060	0
