iter	Passed	Remaining
0	31	31008
1	53	26882
2	76	25373
3	98	24550
4	120	24027
5	143	23698
6	165	23442
7	187	23229
8	210	23212
9	234	23242
10	258	23230
11	280	23119
12	303	23038
13	326	22987
14	349	22922
15	372	22878
16	394	22810
17	416	22745
18	439	22671
19	461	22625
20	483	22563
21	507	22553
22	530	22516
23	552	22476
24	575	22429
25	597	22396
26	620	22363
27	643	22322
28	665	22291
29	688	22258
30	710	22221
31	734	22205
32	758	22230
33	781	22214
34	806	22242
35	830	22231
36	854	22230
37	878	22227
38	904	22280
39	927	22263
40	950	22228
41	972	22191
42	995	22146
43	1017	22107
44	1039	22065
45	1062	22036
46	1084	21998
47	1107	21958
48	1129	21925
49	1152	21890
50	1174	21859
51	1197	21827
52	1219	21792
53	1243	21781
54	1266	21768
55	1289	21735
56	1312	21710
57	1334	21676
58	1356	21639
59	1379	21617
60	1402	21585
61	1424	21555
62	1446	21519
63	1469	21488
64	1491	21461
65	1514	21437
66	1537	21406
67	1559	21375
68	1582	21350
69	1605	21335
70	1628	21310
71	1651	21281
72	1673	21250
73	1695	21221
74	1718	21191
75	1742	21182
76	1766	21178
77	1790	21159
78	1812	21132
79	1835	21105
80	1857	21078
81	1880	21047
82	1903	21026
83	1925	21000
84	1948	20971
85	1970	20946
86	1992	20913
87	2015	20884
88	2037	20858
89	2060	20833
90	2083	20814
91	2106	20786
92	2128	20756
93	2150	20729
94	2172	20700
95	2195	20672
96	2218	20649
97	2241	20628
98	2264	20612
99	2288	20596
100	2311	20570
101	2333	20544
102	2356	20526
103	2378	20495
104	2401	20471
105	2423	20441
106	2446	20414
107	2468	20391
108	2491	20362
109	2513	20337
110	2535	20307
111	2558	20283
112	2580	20256
113	2602	20227
114	2625	20203
115	2647	20179
116	2670	20154
117	2693	20132
118	2716	20109
119	2738	20083
120	2762	20064
121	2787	20058
122	2810	20037
123	2832	20009
124	2854	19982
125	2878	19969
126	2901	19946
127	2925	19928
128	2947	19903
129	2971	19883
130	2993	19857
131	3016	19833
132	3038	19809
133	3063	19795
134	3086	19779
135	3111	19766
136	3133	19739
137	3155	19711
138	3179	19693
139	3201	19665
140	3224	19641
141	3246	19615
142	3269	19592
143	3293	19577
144	3316	19555
145	3341	19545
146	3363	19517
147	3386	19493
148	3409	19470
149	3431	19446
150	3454	19422
151	3476	19397
152	3500	19378
153	3522	19352
154	3545	19327
155	3568	19304
156	3590	19278
157	3613	19254
158	3635	19227
159	3657	19201
160	3679	19174
161	3702	19153
162	3725	19130
163	3749	19112
164	3773	19094
165	3797	19080
166	3821	19059
167	3844	19038
168	3866	19013
169	3890	18993
170	3912	18968
171	3934	18942
172	3956	18915
173	3979	18892
174	4001	18865
175	4024	18839
176	4046	18814
177	4069	18790
178	4091	18764
179	4113	18740
180	4136	18717
181	4158	18692
182	4181	18668
183	4204	18644
184	4226	18619
185	4249	18596
186	4271	18571
187	4294	18549
188	4318	18530
189	4340	18504
190	4362	18478
191	4386	18458
192	4408	18432
193	4431	18409
194	4454	18387
195	4476	18364
196	4499	18338
197	4521	18314
198	4543	18287
199	4566	18267
200	4590	18246
201	4612	18222
202	4635	18198
203	4657	18174
204	4680	18150
